id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29059,Lovely studio Quartier Latin,125031,Maryline,,Ville-Marie,45.51939,-73.56482,Entire home/apt,164,2,450,3/16/24,2.69,2,302,48,"267153, expires: 2024-03-31"
29061,Maison historique - Quartier Latin,125031,Maryline,,Ville-Marie,45.51929,-73.56493,Entire home/apt,349,2,130,2/19/24,0.88,2,348,19,"267153, expires: 2024-03-31"
36301,Romantic & peaceful Plateau  loft,381468,Sylvie,,Le Plateau-Mont-Royal,45.53026,-73.58413,Entire home/apt,175,32,51,1/7/24,0.47,3,81,4,
38118,Beautiful room  with a balcony in front of a parc,163569,M.,,Ville-Marie,45.52699,-73.5584,Private room,50,31,16,8/29/22,0.1,1,299,0,
50479,L'Arcade Douce,231694,Noemie,,Rosemont-La Petite-Patrie,45.54157,-73.60737,Entire home/apt,90,3,263,3/18/24,1.6,2,0,47,"271530, expires: 2024-04-30"
66247,Large Loft in Historic Old Montreal,318040,Seb,,Ville-Marie,45.50584,-73.55602,Entire home/apt,110,3,453,3/3/24,2.81,4,59,83,"314544, expires: 2024-07-14T00:00:00Z"
66276,Your Tranquil Oasis Near Downtown Montreal,324569,Anna,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46133041,-73.62896729,Entire home/apt,48,32,41,2/27/24,0.26,2,252,3,
70489,Ultra Luxurious - City Center,145990,Marc Andre,,Ville-Marie,45.5019,-73.56354,Entire home/apt,90,31,1,10/15/13,0.01,1,249,0,
70801,"Large, sunny house with garden near Old MTL",294382,Jennifer&Steeve,,Le Sud-Ouest,45.47812,-73.55698,Entire home/apt,499,3,35,10/9/23,0.22,1,252,8,"310728, expires: 2024-07-31"
85267,Country feeling loft in Plateau,381468,Sylvie,,Le Plateau-Mont-Royal,45.52946,-73.58206,Entire home/apt,170,32,39,12/23/23,0.25,3,90,4,
99859,Plateau Charm,525486,Sesaye,,Le Plateau-Mont-Royal,45.51856,-73.57756,Entire home/apt,232,31,44,8/7/23,0.28,1,365,1,
135275,"Charming aparthotel, little Italie",520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53971,-73.61943,Entire home/apt,170,31,75,1/9/24,0.48,3,223,3,
