neighbourhood,number_of_listings,mean_price
Le Plateau-Mont-Royal,245,173.2
Ville-Marie,156,186.89032258064515
Rosemont-La Petite-Patrie,75,182.02666666666667
Mercier-Hochelaga-Maisonneuve,40,129.125
Le Sud-Ouest,36,174.19444444444446
Côte-des-Neiges-Notre-Dame-de-Grâce,35,105.88571428571429
Villeray-Saint-Michel-Parc-Extension,25,156.2
Ahuntsic-Cartierville,19,136.31578947368422
Verdun,16,102.125
Lachine,6,168.5
Outremont,6,148.33333333333334
Saint-Laurent,6,98.33333333333333
Pointe-Claire,5,99.6
Westmount,5,179.6
LaSalle,4,86.0
Côte-Saint-Luc,3,549.6666666666666
Hampstead,2,424.5
Anjou,2,90.5
Saint-Léonard,2,154.5
Baie-d'Urfé,2,356.0
Pierrefonds-Roxboro,1,145.0
Rivière-des-Prairies-Pointe-aux-Trembles,1,50.0
Dorval,1,527.0
