id,name,neighbourhood,host_name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29059,Lovely studio Quartier Latin,Ville-Marie,Maryline,45.51939,-73.56482,Entire home/apt,164.0,2.0,450.0,3/16/24,2.69,2,302,48.0,"267153, expires: 2024-03-31"
29061,Maison historique - Quartier Latin,Ville-Marie,Maryline,45.51929,-73.56493,Entire home/apt,349.0,2.0,130.0,2/19/24,0.88,2,348,19.0,"267153, expires: 2024-03-31"
38118,Beautiful room  with a balcony in front of a parc,Ville-Marie,M.,45.52699,-73.5584,Private room,50.0,31.0,16.0,8/29/22,0.1,1,299,0.0,
50479,L'Arcade Douce,Rosemont-La Petite-Patrie,Noemie,45.54157,-73.60737,Entire home/apt,90.0,3.0,263.0,3/18/24,1.6,2,0,47.0,"271530, expires: 2024-04-30"
66247,Large Loft in Historic Old Montreal,Ville-Marie,Seb,45.50584,-73.55602,Entire home/apt,110.0,3.0,453.0,3/3/24,2.81,4,59,83.0,"314544, expires: 2024-07-14T00:00:00Z"
70489,Ultra Luxurious - City Center,Ville-Marie,Marc Andre,45.5019,-73.56354,Entire home/apt,90.0,31.0,1.0,10/15/13,0.01,1,249,0.0,
70801,"Large, sunny house with garden near Old MTL",Le Sud-Ouest,Jennifer&Steeve,45.47812,-73.55698,Entire home/apt,499.0,3.0,35.0,10/9/23,0.22,1,252,8.0,"310728, expires: 2024-07-31"
99859,Plateau Charm,Le Plateau-Mont-Royal,Sesaye,45.51856,-73.57756,Entire home/apt,232.0,31.0,44.0,8/7/23,0.28,1,365,1.0,
135275,"Charming aparthotel, little Italie",Villeray-Saint-Michel-Parc-Extension,Myriam,45.53971,-73.61943,Entire home/apt,170.0,31.0,75.0,1/9/24,0.48,3,223,3.0,
137443,"Apt + garden (Mile End, Plateau) / # CiTQ 310398",Le Plateau-Mont-Royal,Christophe,45.52663,-73.60145,Entire home/apt,280.0,2.0,67.0,10/15/23,0.46,1,90,20.0,"310398, expires: 2024-06-30"
164087,Functional studio (Secret Studio) -plateau,Le Plateau-Mont-Royal,Martin,45.528545,-73.579308,Entire home/apt,104.0,2.0,723.0,3/7/24,4.71,2,27,70.0,"291093, expires: 2025-01-31"
165108,The Cocooning in the heart of Rosemont,Rosemont-La Petite-Patrie,Karine,45.54673,-73.57181,Entire home/apt,95.0,31.0,32.0,1/2/22,0.21,3,2,0.0,
168331,Modern vintage 2 BDR in heart plateau,Le Plateau-Mont-Royal,Martin,45.528431,-73.578979,Entire home/apt,204.0,2.0,631.0,3/1/24,4.14,2,24,63.0,"291093, expires: 2025-01-31"
171627,MINI LOUNGE LOFT,Côte-des-Neiges-Notre-Dame-de-Grâce,Lapelemo,45.49406,-73.62555,Entire home/apt,92.0,31.0,2.0,8/7/22,0.01,1,265,0.0,
180947,"Loft at Unity 1, Downtown - 423",Ville-Marie,Service,45.50312,-73.56346,Entire home/apt,145.0,31.0,5.0,3/22/22,1.245,14,273,0.0,
208337,"Large apartment, terrace and garden",Le Plateau-Mont-Royal,Christian Et Judith,45.53217,-73.58388,Entire home/apt,220.0,20.0,22.0,8/28/22,0.15,2,197,0.0,"306474, expires: 2024-08-31"
211602,Beautiful sun-filled Studio,Baie-d'Urfé,Hans,45.41282,-73.90712,Entire home/apt,146.0,31.0,219.0,10/26/23,1.73,1,151,21.0,"311701, expires: 2024-12-22"
231472,Charmant appartement équipé,Villeray-Saint-Michel-Parc-Extension,Myriam,45.53839,-73.61759,Entire home/apt,125.0,31.0,21.0,3/31/20,0.15,3,65,0.0,
238705,Magnificent Family Home in Mile End,Le Plateau-Mont-Royal,Victor,45.5211,-73.59219,Entire home/apt,350.0,31.0,10.0,1/2/20,0.08,1,62,0.0,
